qtr,area_title,own_title,total_qtrly_wages
2,"Cleburne County, Alabama",Private,468526
1,"Coffee County, Alabama",Federal Government,297604
2,"Coffee County, Alabama",Federal Government,330531
1,"Coffee County, Alabama",State Government,0
2,"Coffee County, Alabama",State Government,0
1,"Coffee County, Alabama",Local Government,11981404
2,"Coffee County, Alabama",Local Government,11833550
1,"Coffee County, Alabama",Private,18955462
2,"Coffee County, Alabama",Private,20681853
1,"Colbert County, Alabama",Federal Government,550644
2,"Colbert County, Alabama",Federal Government,614062
1,"Colbert County, Alabama",State Government,0
2,"Colbert County, Alabama",State Government,0
1,"Colbert County, Alabama",Local Government,24675548
2,"Colbert County, Alabama",Local Government,22957208
1,"Colbert County, Alabama",Private,21321676
2,"Colbert County, Alabama",Private,23625084
1,"Conecuh County, Alabama",State Government,0
2,"Conecuh County, Alabama",State Government,0
1,"Conecuh County, Alabama",Local Government,2457267
2,"Conecuh County, Alabama",Local Government,2523935
1,"Conecuh County, Alabama",Private,3437505
2,"Conecuh County, Alabama",Private,3184651
1,"Coosa County, Alabama",State Government,0
2,"Coosa County, Alabama",State Government,0
1,"Coosa County, Alabama",Local Government,1155161
2,"Coosa County, Alabama",Local Government,1165748
1,"Coosa County, Alabama",Private,719270
2,"Coosa County, Alabama",Private,856008
1,"Covington County, Alabama",State Government,2338927
2,"Covington County, Alabama",State Government,2526759
1,"Covington County, Alabama",Local Government,8257748
2,"Covington County, Alabama",Local Government,8212227
1,"Covington County, Alabama",Private,15837290
2,"Covington County, Alabama",Private,16609881
1,"Crenshaw County, Alabama",State Government,0
2,"Crenshaw County, Alabama",State Government,0
1,"Crenshaw County, Alabama",Local Government,3075243
2,"Crenshaw County, Alabama",Local Government,3071852
1,"Crenshaw County, Alabama",Private,4076264
2,"Crenshaw County, Alabama",Private,4425180
1,"Cullman County, Alabama",State Government,0
2,"Cullman County, Alabama",State Government,0
1,"Cullman County, Alabama",Local Government,18913782
2,"Cullman County, Alabama",Local Government,19268179
1,"Cullman County, Alabama",Private,38978831
2,"Cullman County, Alabama",Private,43406010
1,"Dale County, Alabama",Federal Government,10039448
2,"Dale County, Alabama",Federal Government,9475172
1,"Dale County, Alabama",State Government,0
2,"Dale County, Alabama",State Government,0
1,"Dale County, Alabama",Local Government,11592345
2,"Dale County, Alabama",Local Government,12130449
1,"Dale County, Alabama",Private,20503419
2,"Dale County, Alabama",Private,23057685
1,"Dallas County, Alabama",Federal Government,184304
2,"Dallas County, Alabama",Federal Government,217614
1,"Dallas County, Alabama",State Government,0
2,"Dallas County, Alabama",State Government,0
1,"Dallas County, Alabama",Local Government,9789834
2,"Dallas County, Alabama",Local Government,9679250
1,"Dallas County, Alabama",Private,19458748
2,"Dallas County, Alabama",Private,18879383
1,"DeKalb County, Alabama",State Government,0
2,"DeKalb County, Alabama",State Government,0
1,"DeKalb County, Alabama",Local Government,15663074
2,"DeKalb County, Alabama",Local Government,15874821
1,"DeKalb County, Alabama",Private,22930247
2,"DeKalb County, Alabama",Private,24267305
1,"Elmore County, Alabama",State Government,1889445
2,"Elmore County, Alabama",State Government,0
1,"Elmore County, Alabama",Local Government,15755417
2,"Elmore County, Alabama",Local Government,15862836
1,"Elmore County, Alabama",Private,19340080
2,"Elmore County, Alabama",Private,19783647
1,"Escambia County, Alabama",State Government,0
2,"Escambia County, Alabama",State Government,0
1,"Escambia County, Alabama",Local Government,7307742
2,"Escambia County, Alabama",Local Government,7322192
1,"Escambia County, Alabama",Private,11619387
2,"Escambia County, Alabama",Private,12455574
1,"Etowah County, Alabama",Federal Government,589267
2,"Etowah County, Alabama",Federal Government,665084
1,"Etowah County, Alabama",State Government,4626452
2,"Etowah County, Alabama",State Government,4893265
1,"Etowah County, Alabama",Local Government,21746354
2,"Etowah County, Alabama",Local Government,22175568
1,"Etowah County, Alabama",Private,81218560
2,"Etowah County, Alabama",Private,84413302
1,"Fayette County, Alabama",State Government,0
2,"Fayette County, Alabama",State Government,0
1,"Fayette County, Alabama",Local Government,5500221
2,"Fayette County, Alabama",Local Government,6114288
1,"Fayette County, Alabama",Private,3058486
2,"Fayette County, Alabama",Private,3301112
1,"Franklin County, Alabama",State Government,0
2,"Franklin County, Alabama",State Government,0
1,"Franklin County, Alabama",Local Government,9770944
2,"Franklin County, Alabama",Local Government,9734897
1,"Franklin County, Alabama",Private,7505487
2,"Franklin County, Alabama",Private,7744064
1,"Geneva County, Alabama",State Government,0
2,"Geneva County, Alabama",State Government,0
1,"Geneva County, Alabama",Local Government,7608421
2,"Geneva County, Alabama",Local Government,8001845
1,"Geneva County, Alabama",Private,2430350
2,"Geneva County, Alabama",Private,2724775
1,"Greene County, Alabama",State Government,0
2,"Greene County, Alabama",State Government,0
1,"Greene County, Alabama",Local Government,3117282
2,"Greene County, Alabama",Local Government,3151139
1,"Greene County, Alabama",Private,716762
2,"Greene County, Alabama",Private,553945
1,"Hale County, Alabama",State Government,0
2,"Hale County, Alabama",State Government,0
1,"Hale County, Alabama",Local Government,4507259
2,"Hale County, Alabama",Local Government,4607622
1,"Hale County, Alabama",Private,1999746
2,"Hale County, Alabama",Private,2108152
1,"Henry County, Alabama",State Government,0
2,"Henry County, Alabama",State Government,0
1,"Henry County, Alabama",Local Government,3195950
2,"Henry County, Alabama",Local Government,3203307
1,"Henry County, Alabama",Private,2827362
2,"Henry County, Alabama",Private,2574283
1,"Houston County, Alabama",Federal Government,393710
2,"Houston County, Alabama",Federal Government,445935
1,"Houston County, Alabama",State Government,6100488
2,"Houston County, Alabama",State Government,6175235
1,"Houston County, Alabama",Local Government,62104036
2,"Houston County, Alabama",Local Government,61512805
1,"Houston County, Alabama",Private,91547126
2,"Houston County, Alabama",Private,103965322
1,"Jackson County, Alabama",State Government,0
2,"Jackson County, Alabama",State Government,0
1,"Jackson County, Alabama",Local Government,17656492
2,"Jackson County, Alabama",Local Government,18829516
1,"Jackson County, Alabama",Private,9515519
2,"Jackson County, Alabama",Private,10146266
1,"Jefferson County, Alabama",Federal Government,47485574
2,"Jefferson County, Alabama",Federal Government,51567406
1,"Jefferson County, Alabama",State Government,309480737
2,"Jefferson County, Alabama",State Government,337090205
1,"Jefferson County, Alabama",Local Government,156189501
2,"Jefferson County, Alabama",Local Government,155934846
1,"Jefferson County, Alabama",Private,762750997
2,"Jefferson County, Alabama",Private,774727969
1,"Lamar County, Alabama",State Government,0
2,"Lamar County, Alabama",State Government,0
1,"Lamar County, Alabama",Local Government,2595733
2,"Lamar County, Alabama",Local Government,2620659
1,"Lamar County, Alabama",Private,2180185
2,"Lamar County, Alabama",Private,2307180
1,"Lauderdale County, Alabama",State Government,0
2,"Lauderdale County, Alabama",State Government,0
1,"Lauderdale County, Alabama",Local Government,18652837
2,"Lauderdale County, Alabama",Local Government,18923735
1,"Lauderdale County, Alabama",Private,46515847
2,"Lauderdale County, Alabama",Private,52229633
1,"Lawrence County, Alabama",State Government,0
2,"Lawrence County, Alabama",State Government,0
1,"Lawrence County, Alabama",Local Government,6409257
2,"Lawrence County, Alabama",Local Government,6468290
1,"Lawrence County, Alabama",Private,5132029
2,"Lawrence County, Alabama",Private,5610089
1,"Lee County, Alabama",State Government,0
2,"Lee County, Alabama",State Government,0
1,"Lee County, Alabama",Local Government,68315600
2,"Lee County, Alabama",Local Government,71469632
1,"Lee County, Alabama",Private,40920369
2,"Lee County, Alabama",Private,42426493
1,"Limestone County, Alabama",State Government,0
2,"Limestone County, Alabama",State Government,0
1,"Limestone County, Alabama",Local Government,27804310
2,"Limestone County, Alabama",Local Government,26732482
1,"Limestone County, Alabama",Private,13260755
2,"Limestone County, Alabama",Private,13665016
1,"Lowndes County, Alabama",State Government,0
2,"Lowndes County, Alabama",State Government,0
1,"Lowndes County, Alabama",Local Government,2526799
2,"Lowndes County, Alabama",Local Government,2531410
1,"Lowndes County, Alabama",Private,1121589
2,"Lowndes County, Alabama",Private,1140570
1,"Macon County, Alabama",Federal Government,12989824
2,"Macon County, Alabama",Federal Government,14981954
1,"Macon County, Alabama",State Government,0
2,"Macon County, Alabama",State Government,0
1,"Macon County, Alabama",Local Government,3393139
2,"Macon County, Alabama",Local Government,3552169
1,"Macon County, Alabama",Private,2219379
2,"Macon County, Alabama",Private,2290855
1,"Madison County, Alabama",Federal Government,8049647
2,"Madison County, Alabama",Federal Government,8090026
1,"Madison County, Alabama",State Government,42720551
2,"Madison County, Alabama",State Government,46200986
1,"Madison County, Alabama",Local Government,213669632
2,"Madison County, Alabama",Local Government,189877976
1,"Madison County, Alabama",Private,229655651
2,"Madison County, Alabama",Private,249258636
1,"Marengo County, Alabama",State Government,0
2,"Marengo County, Alabama",State Government,0
1,"Marengo County, Alabama",Local Government,9323345
2,"Marengo County, Alabama",Local Government,9101375
1,"Marengo County, Alabama",Private,5323639
2,"Marengo County, Alabama",Private,5086352
1,"Marion County, Alabama",State Government,0
2,"Marion County, Alabama",State Government,0
1,"Marion County, Alabama",Local Government,8541042
2,"Marion County, Alabama",Local Government,9010306
1,"Marion County, Alabama",Private,10129875
2,"Marion County, Alabama",Private,9878385
1,"Marshall County, Alabama",State Government,0
2,"Marshall County, Alabama",State Government,0
1,"Marshall County, Alabama",Local Government,41034137
2,"Marshall County, Alabama",Local Government,38944348
1,"Marshall County, Alabama",Private,24058868
2,"Marshall County, Alabama",Private,25166586
1,"Mobile County, Alabama",Federal Government,2765408
2,"Mobile County, Alabama",Federal Government,3159011
1,"Mobile County, Alabama",State Government,70566372
2,"Mobile County, Alabama",State Government,74618259
1,"Mobile County, Alabama",Local Government,79448686
2,"Mobile County, Alabama",Local Government,80118136
1,"Mobile County, Alabama",Private,300228503
2,"Mobile County, Alabama",Private,307045250
1,"Monroe County, Alabama",State Government,0
2,"Monroe County, Alabama",State Government,0
1,"Monroe County, Alabama",Local Government,7490892
2,"Monroe County, Alabama",Local Government,7867133
1,"Monroe County, Alabama",Private,3759688
2,"Monroe County, Alabama",Private,3828012
1,"Montgomery County, Alabama",Federal Government,16011518
2,"Montgomery County, Alabama",Federal Government,18933399
1,"Montgomery County, Alabama",State Government,88697291
2,"Montgomery County, Alabama",State Government,82088429
1,"Montgomery County, Alabama",Local Government,40902918
2,"Montgomery County, Alabama",Local Government,40006177
1,"Montgomery County, Alabama",Private,151222370
2,"Montgomery County, Alabama",Private,154299967
1,"Morgan County, Alabama",State Government,401965
2,"Morgan County, Alabama",State Government,460154
1,"Morgan County, Alabama",Local Government,45772506
2,"Morgan County, Alabama",Local Government,43179322
1,"Morgan County, Alabama",Private,38524578
2,"Morgan County, Alabama",Private,40562814
1,"Perry County, Alabama",State Government,0
2,"Perry County, Alabama",State Government,0
1,"Perry County, Alabama",Local Government,1963096
2,"Perry County, Alabama",Local Government,1980067
1,"Perry County, Alabama",Private,4530100
2,"Perry County, Alabama",Private,4495013
1,"Pickens County, Alabama",State Government,0
2,"Pickens County, Alabama",State Government,0
1,"Pickens County, Alabama",Local Government,4930006
2,"Pickens County, Alabama",Local Government,5032838
1,"Pickens County, Alabama",Private,3551162
2,"Pickens County, Alabama",Private,3764654
1,"Pike County, Alabama",State Government,0
2,"Pike County, Alabama",State Government,0
1,"Pike County, Alabama",Local Government,8847099
2,"Pike County, Alabama",Local Government,9526475
1,"Pike County, Alabama",Private,8322231
2,"Pike County, Alabama",Private,8653247
1,"Randolph County, Alabama",State Government,0
2,"Randolph County, Alabama",State Government,0
1,"Randolph County, Alabama",Local Government,5013196
2,"Randolph County, Alabama",Local Government,5014595
1,"Randolph County, Alabama",Private,5281863
2,"Randolph County, Alabama",Private,5687298
1,"Russell County, Alabama",State Government,0
2,"Russell County, Alabama",State Government,0
1,"Russell County, Alabama",Local Government,12805138
2,"Russell County, Alabama",Local Government,12928981
1,"Russell County, Alabama",Private,16172736
2,"Russell County, Alabama",Private,16473706
1,"St. Clair County, Alabama",State Government,0
2,"St. Clair County, Alabama",State Government,0
1,"St. Clair County, Alabama",Local Government,15678790
2,"St. Clair County, Alabama",Local Government,15677317
1,"St. Clair County, Alabama",Private,19574676
2,"St. Clair County, Alabama",Private,20004666
1,"Shelby County, Alabama",State Government,0
2,"Shelby County, Alabama",State Government,0
1,"Shelby County, Alabama",Local Government,49310061
2,"Shelby County, Alabama",Local Government,49897719
1,"Shelby County, Alabama",Private,95109968
2,"Shelby County, Alabama",Private,101588144
1,"Sumter County, Alabama",State Government,0
2,"Sumter County, Alabama",State Government,0
1,"Sumter County, Alabama",Local Government,0
2,"Sumter County, Alabama",Local Government,0
1,"Sumter County, Alabama",Private,2644864
2,"Sumter County, Alabama",Private,2692455
1,"Talladega County, Alabama",State Government,0
2,"Talladega County, Alabama",State Government,0
1,"Talladega County, Alabama",Local Government,15091913
2,"Talladega County, Alabama",Local Government,15066681
1,"Talladega County, Alabama",Private,28764083
2,"Talladega County, Alabama",Private,30750009
1,"Tallapoosa County, Alabama",State Government,0
2,"Tallapoosa County, Alabama",State Government,0
1,"Tallapoosa County, Alabama",Local Government,7700229
2,"Tallapoosa County, Alabama",Local Government,7657977
1,"Tallapoosa County, Alabama",Private,21870838
2,"Tallapoosa County, Alabama",Private,24034973
1,"Tuscaloosa County, Alabama",Federal Government,19635877
2,"Tuscaloosa County, Alabama",Federal Government,22296106
1,"Tuscaloosa County, Alabama",State Government,141285156
2,"Tuscaloosa County, Alabama",State Government,139000760
1,"Tuscaloosa County, Alabama",Local Government,88846489
2,"Tuscaloosa County, Alabama",Local Government,97551276
1,"Tuscaloosa County, Alabama",Private,78614518
2,"Tuscaloosa County, Alabama",Private,81169208
1,"Walker County, Alabama",Federal Government,424596
2,"Walker County, Alabama",Federal Government,456364
1,"Walker County, Alabama",State Government,3092880
2,"Walker County, Alabama",State Government,0
1,"Walker County, Alabama",Local Government,15038287
2,"Walker County, Alabama",Local Government,14903534
1,"Walker County, Alabama",Private,37308336
2,"Walker County, Alabama",Private,39886318
1,"Washington County, Alabama",State Government,0
2,"Washington County, Alabama",State Government,0
1,"Washington County, Alabama",Local Government,4731206
2,"Washington County, Alabama",Local Government,4911131
1,"Washington County, Alabama",Private,1045192
2,"Washington County, Alabama",Private,1046828
1,"Wilcox County, Alabama",State Government,0
2,"Wilcox County, Alabama",State Government,0
1,"Wilcox County, Alabama",Local Government,2353009
2,"Wilcox County, Alabama",Local Government,2387468
1,"Wilcox County, Alabama",Private,2163474
2,"Wilcox County, Alabama",Private,1979736
1,"Winston County, Alabama",State Government,0
2,"Winston County, Alabama",State Government,0
1,"Winston County, Alabama",Local Government,5405258
2,"Winston County, Alabama",Local Government,5427552
1,"Winston County, Alabama",Private,5950504
2,"Winston County, Alabama",Private,6438769
1,"Unknown Or Undefined, Alabama",Federal Government,212083
2,"Unknown Or Undefined, Alabama",Federal Government,142611
1,"Unknown Or Undefined, Alabama",State Government,2412710
2,"Unknown Or Undefined, Alabama",State Government,0
1,"Unknown Or Undefined, Alabama",Local Government,0
2,"Unknown Or Undefined, Alabama",Local Government,0
1,"Unknown Or Undefined, Alabama",Private,50521515
2,"Unknown Or Undefined, Alabama",Private,50524185
1,Alaska -- Statewide,Federal Government,13996889
2,Alaska -- Statewide,Federal Government,12985123
1,Alaska -- Statewide,State Government,83002283
2,Alaska -- Statewide,State Government,70075339
1,Alaska -- Statewide,Local Government,285116716
2,Alaska -- Statewide,Local Government,363083577
1,Alaska -- Statewide,Private,665552588
2,Alaska -- Statewide,Private,688605496
1,"Aleutians East Borough, Alaska",Local Government,849972
2,"Aleutians East Borough, Alaska",Local Government,1024556
1,"Aleutians East Borough, Alaska",Private,0
2,"Aleutians East Borough, Alaska",Private,0
1,"Aleutians West Census Area, Alaska",State Government,0
2,"Aleutians West Census Area, Alaska",State Government,0
1,"Aleutians West Census Area, Alaska",Local Government,0
2,"Aleutians West Census Area, Alaska",Local Government,0
1,"Aleutians West Census Area, Alaska",Private,1482860
2,"Aleutians West Census Area, Alaska",Private,1574079
1,"Anchorage Municipality, Alaska",Federal Government,4341557
2,"Anchorage Municipality, Alaska",Federal Government,4520839
1,"Anchorage Municipality, Alaska",State Government,0
2,"Anchorage Municipality, Alaska",State Government,0
1,"Anchorage Municipality, Alaska",Local Government,0
2,"Anchorage Municipality, Alaska",Local Government,0
1,"Anchorage Municipality, Alaska",Private,357134561
2,"Anchorage Municipality, Alaska",Private,371016590
1,"Bethel Census Area, Alaska",State Government,0
2,"Bethel Census Area, Alaska",State Government,0
1,"Bethel Census Area, Alaska",Local Government,15100974
2,"Bethel Census Area, Alaska",Local Government,18123016
1,"Bethel Census Area, Alaska",Private,0
2,"Bethel Census Area, Alaska",Private,0
1,"Bristol Bay Borough, Alaska",State Government,0
2,"Bristol Bay Borough, Alaska",State Government,0
1,"Bristol Bay Borough, Alaska",Local Government,0
2,"Bristol Bay Borough, Alaska",Local Government,0
1,"Bristol Bay Borough, Alaska",Private,308209
2,"Bristol Bay Borough, Alaska",Private,337441
1,"Denali Borough, Alaska",State Government,0
2,"Denali Borough, Alaska",State Government,0
1,"Denali Borough, Alaska",Local Government,0
2,"Denali Borough, Alaska",Local Government,0
1,"Denali Borough, Alaska",Private,141963
2,"Denali Borough, Alaska",Private,98605
1,"Dillingham Census Area, Alaska",State Government,0
2,"Dillingham Census Area, Alaska",State Government,0
1,"Dillingham Census Area, Alaska",Local Government,0
2,"Dillingham Census Area, Alaska",Local Government,0
1,"Dillingham Census Area, Alaska",Private,9070004
2,"Dillingham Census Area, Alaska",Private,10128971
1,"Fairbanks North Star Borough, Alaska",Federal Government,9574698
2,"Fairbanks North Star Borough, Alaska",Federal Government,8372489
1,"Fairbanks North Star Borough, Alaska",State Government,0
2,"Fairbanks North Star Borough, Alaska",State Government,0
1,"Fairbanks North Star Borough, Alaska",Local Government,0
2,"Fairbanks North Star Borough, Alaska",Local Government,0
1,"Fairbanks North Star Borough, Alaska",Private,68539677
2,"Fairbanks North Star Borough, Alaska",Private,75373164
1,"Haines Borough, Alaska",State Government,0
2,"Haines Borough, Alaska",State Government,0
1,"Haines Borough, Alaska",Local Government,0
2,"Haines Borough, Alaska",Local Government,0
1,"Haines Borough, Alaska",Private,1154116
2,"Haines Borough, Alaska",Private,1227383
1,"Hoonah-Angoon Census Area, Alaska",State Government,0
2,"Hoonah-Angoon Census Area, Alaska",State Government,0
1,"Hoonah-Angoon Census Area, Alaska",Local Government,0
2,"Hoonah-Angoon Census Area, Alaska",Local Government,0
1,"Hoonah-Angoon Census Area, Alaska",Private,430656
2,"Hoonah-Angoon Census Area, Alaska",Private,461461
1,"Juneau City and Borough, Alaska",State Government,0
2,"Juneau City and Borough, Alaska",State Government,0
1,"Juneau City and Borough, Alaska",Local Government,0
2,"Juneau City and Borough, Alaska",Local Government,0
1,"Juneau City and Borough, Alaska",Private,19247655
2,"Juneau City and Borough, Alaska",Private,20162537
1,"Kenai Peninsula Borough, Alaska",State Government,5155509
2,"Kenai Peninsula Borough, Alaska",State Government,3045320
1,"Kenai Peninsula Borough, Alaska",Local Government,26956710
2,"Kenai Peninsula Borough, Alaska",Local Government,35596008
1,"Kenai Peninsula Borough, Alaska",Private,39023494
2,"Kenai Peninsula Borough, Alaska",Private,38426059
1,"Ketchikan Gateway Borough, Alaska",State Government,0
2,"Ketchikan Gateway Borough, Alaska",State Government,0
1,"Ketchikan Gateway Borough, Alaska",Local Government,0
2,"Ketchikan Gateway Borough, Alaska",Local Government,0
1,"Ketchikan Gateway Borough, Alaska",Private,14134322
2,"Ketchikan Gateway Borough, Alaska",Private,14123822
1,"Kodiak Island Borough, Alaska",State Government,0
2,"Kodiak Island Borough, Alaska",State Government,0
1,"Kodiak Island Borough, Alaska",Local Government,5387670
2,"Kodiak Island Borough, Alaska",Local Government,5479611
1,"Kodiak Island Borough, Alaska",Private,10323103
2,"Kodiak Island Borough, Alaska",Private,10872173
1,"Kusilvak Census Area, Alaska",State Government,0
2,"Kusilvak Census Area, Alaska",State Government,0
1,"Kusilvak Census Area, Alaska",Local Government,0
2,"Kusilvak Census Area, Alaska",Local Government,8044012
1,"Kusilvak Census Area, Alaska",Private,0
2,"Kusilvak Census Area, Alaska",Private,0
1,"Lake and Peninsula Borough, Alaska",Local Government,0
2,"Lake and Peninsula Borough, Alaska",Local Government,0
1,"Lake and Peninsula Borough, Alaska",Private,0
2,"Lake and Peninsula Borough, Alaska",Private,0
1,"Matanuska-Susitna Borough, Alaska",State Government,0
2,"Matanuska-Susitna Borough, Alaska",State Government,0
1,"Matanuska-Susitna Borough, Alaska",Local Government,0
2,"Matanuska-Susitna Borough, Alaska",Local Government,0
1,"Matanuska-Susitna Borough, Alaska",Private,54428999
2,"Matanuska-Susitna Borough, Alaska",Private,56018199
1,"Nome Census Area, Alaska",State Government,0
2,"Nome Census Area, Alaska",State Government,0
1,"Nome Census Area, Alaska",Local Government,8161418
2,"Nome Census Area, Alaska",Local Government,9126374
1,"Nome Census Area, Alaska",Private,0
2,"Nome Census Area, Alaska",Private,0
1,"North Slope Borough, Alaska",State Government,0
2,"North Slope Borough, Alaska",State Government,0
1,"North Slope Borough, Alaska",Local Government,8048589
2,"North Slope Borough, Alaska",Local Government,9111757
1,"North Slope Borough, Alaska",Private,11276060
2,"North Slope Borough, Alaska",Private,10456360
1,"Northwest Arctic Borough, Alaska",State Government,0
2,"Northwest Arctic Borough, Alaska",State Government,0
1,"Northwest Arctic Borough, Alaska",Local Government,6856524
2,"Northwest Arctic Borough, Alaska",Local Government,8143400
1,"Northwest Arctic Borough, Alaska",Private,0
2,"Northwest Arctic Borough, Alaska",Private,0
1,"Petersburg Borough, Alaska",State Government,0
2,"Petersburg Borough, Alaska",State Government,0
1,"Petersburg Borough, Alaska",Local Government,0
2,"Petersburg Borough, Alaska",Local Government,0
1,"Petersburg Borough, Alaska",Private,378033
2,"Petersburg Borough, Alaska",Private,417287
1,"Prince of Wales-Hyder Census Area, Alaska",State Government,0
2,"Prince of Wales-Hyder Census Area, Alaska",State Government,0
1,"Prince of Wales-Hyder Census Area, Alaska",Local Government,0
2,"Prince of Wales-Hyder Census Area, Alaska",Local Government,0
1,"Prince of Wales-Hyder Census Area, Alaska",Private,1638667
2,"Prince of Wales-Hyder Census Area, Alaska",Private,1731044
1,"Sitka City and Borough, Alaska",State Government,0
2,"Sitka City and Borough, Alaska",State Government,0
1,"Sitka City and Borough, Alaska",Local Government,0
2,"Sitka City and Borough, Alaska",Local Government,0
1,"Sitka City and Borough, Alaska",Private,9877007
2,"Sitka City and Borough, Alaska",Private,10116499
1,"Skagway Municipality, Alaska",Local Government,0
2,"Skagway Municipality, Alaska",Local Government,0
1,"Skagway Municipality, Alaska",Private,34044
2,"Skagway Municipality, Alaska",Private,0
1,"Southeast Fairbanks Census Area, Alaska",State Government,0
2,"Southeast Fairbanks Census Area, Alaska",State Government,0
1,"Southeast Fairbanks Census Area, Alaska",Local Government,3097061
2,"Southeast Fairbanks Census Area, Alaska",Local Government,2885824
1,"Southeast Fairbanks Census Area, Alaska",Private,4965075
2,"Southeast Fairbanks Census Area, Alaska",Private,4562847
1,"Valdez-Cordova Census Area, Alaska",State Government,0
2,"Valdez-Cordova Census Area, Alaska",State Government,0
1,"Valdez-Cordova Census Area, Alaska",Local Government,4851738
2,"Valdez-Cordova Census Area, Alaska",Local Government,5864826
1,"Valdez-Cordova Census Area, Alaska",Private,4303304
2,"Valdez-Cordova Census Area, Alaska",Private,4534551
1,"Wrangell City and Borough, Alaska",State Government,0
2,"Wrangell City and Borough, Alaska",State Government,0
1,"Wrangell City and Borough, Alaska",Local Government,0
